sample,Symbiodinium,Breviolum,Cladocopium,Durusdinium,Total Alignments,Frac Symbiodinium,Frac Breviolum,Frac Cladocopium,Frac Durusdinium
mx_101,61,12,3828,1014,4915,0.012410987,0.002441506,0.778840285,0.206307223
mx_087,12,24,4882,17,4935,0.002431611,0.004863222,0.989260385,0.003444782
mx_112,171,141,5310,209,5831,0.029326016,0.024181101,0.910649974,0.035842909
mx_123,17,118,7804,26,7965,0.002134338,0.014814815,0.979786566,0.003264281
mx_109,17,82,7755,164,8018,0.002120229,0.010226989,0.967198803,0.020453979
mx_103,109,132,11994,344,12579,0.008665236,0.01049368,0.953493918,0.027347166
mx_121,209,151,13411,847,14618,0.014297442,0.01032973,0.917430565,0.057942263
mx_096,41,80,17170,108,17399,0.002356457,0.004597965,0.986838324,0.006207253
mx_054,27,279,21378,45,21729,0.001242579,0.012839983,0.983846472,0.002070965
mx_093,59,67,22289,101,22516,0.002620359,0.002975662,0.98991828,0.004485699
mx_026,20,124,22982,22,23148,0.000864006,0.005356834,0.992828754,0.000950406
mx_015,49,119,24080,37,24285,0.002017706,0.004900144,0.991558575,0.001523574
mx_014,38,197,26427,58,26720,0.001422156,0.007372754,0.989034431,0.002170659
mx_018,80,271,29981,893,31225,0.00256205,0.008678943,0.960160128,0.028598879
mx_065,55,237,45492,340,46124,0.001192438,0.005138323,0.986297806,0.007371434
mx_028,71,195,48021,66,48353,0.001468368,0.004032842,0.993133828,0.001364962
mx_036,62,241,48158,168,48629,0.001274959,0.004955891,0.990314421,0.003454729
mx_017,75,280,49018,704,50077,0.001497694,0.005591389,0.978852567,0.01405835
mx_025,63,159,50285,68,50575,0.001245675,0.003143846,0.994265942,0.001344538
mx_076,74,166,51704,84,52028,0.001422311,0.00319059,0.993772584,0.001614515
mx_092,93,255,53560,562,54470,0.001707362,0.004681476,0.983293556,0.010317606
mx_107,110,262,57527,160,58059,0.001894624,0.004512651,0.990836907,0.002755817
mx_003,89,211,58541,107,58948,0.001509805,0.003579426,0.99309561,0.001815159
mx_095,83,201,64974,73,65331,0.001270454,0.00307664,0.994535519,0.001117387
mx_035,68,273,74476,75,74892,0.000907974,0.003645249,0.994445335,0.001001442
mx_073,90,364,82064,160,82678,0.00108856,0.004402622,0.992573599,0.001935219
mx_119,345,534,84073,288,85240,0.004047396,0.006264664,0.986309244,0.003378695
mx_005,137,333,87681,192,88343,0.001550774,0.003769399,0.99250648,0.002173347
mx_106,301,476,89263,837,90877,0.003312169,0.005237849,0.982239731,0.009210251
mx_085,140,372,90343,420,91275,0.001533826,0.004075596,0.989789099,0.004601479
mx_020,150,411,95174,597,96332,0.001557115,0.004266495,0.987979072,0.006197318
mx_037,117,285,96198,263,96863,0.001207892,0.0029423,0.993134633,0.002715175
mx_038,161,333,96733,155,97382,0.001653283,0.003419523,0.993335524,0.00159167
mx_007,199,517,100745,274,101735,0.001956062,0.00508183,0.990268836,0.002693272
mx_011,127,323,103628,134,104212,0.00121867,0.003099451,0.994396039,0.00128584
mx_057,117,390,110204,126,110837,0.001055604,0.003518681,0.994288911,0.001136804
mx_019,174,496,110149,649,111468,0.001560986,0.004449708,0.988167008,0.005822299
mx_091,171,272,116829,412,117684,0.001453044,0.002311274,0.992734781,0.003500901
mx_009,224,392,119291,326,120233,0.001863049,0.003260336,0.992165213,0.002711402
mx_004,144,228,122413,202,122987,0.001170855,0.001853854,0.99533284,0.00164245
